month,date,hour,minute,second,in,out,cin,app
04,29,14,31,34,576,182,394,0.03
04,29,14,32,24,579,182,397,0.03
04,29,14,32,29,585,182,403,0.02
04,29,15,09,38,589,182,407,0.02
04,29,15,10,00,596,182,414,0.02
04,29,15,10,27,666,182,484,0.02
04,29,15,22,45,686,182,504,0.02
04,29,15,26,10,692,182,510,0.02
04,29,15,26,12,697,182,515,0.02
04,29,15,26,20,709,182,527,0.02
04,29,15,26,24,713,182,531,0.02
04,29,16,39,37,747,193,554,0.02
04,29,16,41,11,753,193,560,0.02
04,29,16,41,19,757,196,561,0.02
04,29,16,41,21,758,196,562,0.02
04,29,16,41,30,775,196,579,0.02
04,29,16,41,38,783,196,587,0.02
04,29,16,41,40,789,196,593,0.02
04,29,16,41,46,794,196,598,0.02
04,29,16,41,52,826,196,630,0.02
04,29,16,42,34,827,196,631,0.02
04,29,16,42,36,828,196,632,0.02
04,29,16,42,38,829,196,633,0.02
04,29,16,42,41,830,196,634,0.02
04,29,16,42,44,831,196,635,0.02
04,29,16,42,46,832,196,636,0.02
04,29,16,42,47,833,196,637,0.02
04,29,16,42,49,834,196,638,0.02
04,29,16,42,51,835,196,639,0.02
04,29,16,42,53,836,196,640,0.02
04,29,16,42,55,837,196,641,0.02
04,29,16,42,56,838,196,642,0.02
04,29,16,42,58,839,196,643,0.02
04,29,16,43,01,840,196,644,0.02
04,29,16,43,03,841,196,645,0.02
04,29,17,25,06,956,568,388,0.03
04,29,17,30,27,956,568,388,0.03
04,29,17,30,31,956,568,388,0.03
04,29,17,30,33,956,568,388,0.03
04,29,17,30,33,956,568,388,0.03
04,29,17,30,34,956,568,388,0.03
04,29,17,30,34,956,568,388,0.03
04,29,17,30,34,956,568,388,0.03
04,29,17,30,45,956,568,388,0.03
04,29,17,30,55,956,568,388,0.03
04,29,17,30,57,956,568,388,0.03
04,29,17,30,57,956,568,388,0.03
04,29,17,30,57,956,568,388,0.03
04,29,17,30,57,956,568,388,0.03
04,29,17,30,57,956,568,388,0.03
04,29,17,30,58,956,568,388,0.03
04,29,17,30,58,956,568,388,0.03
04,29,17,31,56,987,568,419,0.02
04,29,22,56,00,1027,964,63,0.16
04,30,19,22,29,1278,978,300,0.03
04,30,19,28,41,985,978,7,1.43
04,30,19,33,31,95,978,-883,-0.01
04,30,19,33,41,955,978,-23,-0.43
04,30,19,43,40,1575,1028,547,0.02
04,30,20,06,07,55,11,44,-0.52
04,30,20,08,35,84,11,73,-1.88
04,30,20,09,22,84,66,18,-30.86
04,30,20,10,28,84,66,18,-30.86
04,30,20,13,23,1769,1389,380,0.03
04,30,20,13,55,169,1389,-1220,-0.01
04,30,20,14,15,1869,1389,480,0.02
04,30,20,24,18,84,81,3,-1111.11
04,30,21,07,37,2583,1784,799,0.01
04,30,22,52,13,2799,1468,1331,0.01
04,30,22,55,48,2799,1468,1331,0.01
04,30,22,55,53,2999,1468,1531,0.01
04,30,23,07,39,3089,2728,361,0.03
04,30,23,23,43,268,99,169,0.06
04,30,23,29,34,200,100,100,0.10
04,30,23,29,34,200,100,100,0.10
04,30,23,29,35,200,100,100,0.10
04,30,23,29,35,200,100,100,0.10
04,30,23,29,35,200,100,100,0.10
04,30,23,29,35,200,100,100,0.10
04,30,23,29,35,200,100,100,0.10
04,30,23,29,36,200,100,100,0.10
04,30,23,29,36,200,100,100,0.10
04,30,23,29,36,200,100,100,0.10
04,30,23,29,37,200,100,100,0.10
04,30,23,29,37,200,100,100,0.10
04,30,23,29,37,200,100,100,0.10
04,30,23,29,37,200,100,100,0.10
04,30,23,29,37,200,100,100,0.10
04,30,23,29,37,200,100,100,0.10
04,30,23,29,37,200,100,100,0.10
04,30,23,29,37,200,100,100,0.10
04,30,23,29,37,200,100,100,0.10
04,30,23,29,37,200,100,100,0.10
04,30,23,29,37,200,100,100,0.10
04,30,23,34,14,300,100,200,0.05
04,30,23,37,39,370,100,270,0.04
04,30,23,42,34,379,100,279,0.04
04,30,23,43,54,379,100,279,0.04
04,30,23,44,55,580,100,480,0.02
