{'hour': '05', 'app': '0.77', 'cin': '13', 'month': '04', 'second': '30', 'in': '20', 'date': '29', 'minute': '44', 'out': '7'}
{'hour': '12', 'app': '0.12', 'cin': '81', 'month': '04', 'second': '27', 'in': '201', 'date': '29', 'minute': '37', 'out': '120'}
{'hour': '12', 'app': '0.12', 'cin': '85', 'month': '04', 'second': '31', 'in': '208', 'date': '29', 'minute': '38', 'out': '123'}
{'hour': '12', 'app': '0.12', 'cin': '83', 'month': '04', 'second': '04', 'in': '210', 'date': '29', 'minute': '39', 'out': '127'}
{'hour': '12', 'app': '0.12', 'cin': '85', 'month': '04', 'second': '51', 'in': '215', 'date': '29', 'minute': '51', 'out': '130'}
{'hour': '12', 'app': '0.12', 'cin': '86', 'month': '04', 'second': '06', 'in': '218', 'date': '29', 'minute': '52', 'out': '132'}
{'hour': '12', 'app': '0.12', 'cin': '83', 'month': '04', 'second': '18', 'in': '220', 'date': '29', 'minute': '52', 'out': '137'}
{'hour': '12', 'app': '0.11', 'cin': '89', 'month': '04', 'second': '25', 'in': '227', 'date': '29', 'minute': '52', 'out': '138'}
{'hour': '13', 'app': '0.11', 'cin': '89', 'month': '04', 'second': '22', 'in': '230', 'date': '29', 'minute': '12', 'out': '141'}
{'hour': '13', 'app': '0.11', 'cin': '88', 'month': '04', 'second': '28', 'in': '232', 'date': '29', 'minute': '12', 'out': '144'}
{'hour': '13', 'app': '0.11', 'cin': '93', 'month': '04', 'second': '35', 'in': '238', 'date': '29', 'minute': '12', 'out': '145'}
{'hour': '13', 'app': '0.10', 'cin': '96', 'month': '04', 'second': '43', 'in': '242', 'date': '29', 'minute': '12', 'out': '146'}
{'hour': '13', 'app': '0.11', 'cin': '93', 'month': '04', 'second': '06', 'in': '250', 'date': '29', 'minute': '24', 'out': '157'}
{'hour': '13', 'app': '0.11', 'cin': '93', 'month': '04', 'second': '14', 'in': '256', 'date': '29', 'minute': '24', 'out': '163'}
{'hour': '13', 'app': '0.10', 'cin': '101', 'month': '04', 'second': '20', 'in': '268', 'date': '29', 'minute': '24', 'out': '167'}
{'hour': '13', 'app': '0.09', 'cin': '108', 'month': '04', 'second': '28', 'in': '279', 'date': '29', 'minute': '24', 'out': '171'}
{'hour': '13', 'app': '0.09', 'cin': '117', 'month': '04', 'second': '22', 'in': '288', 'date': '29', 'minute': '27', 'out': '171'}
{'hour': '13', 'app': '0.08', 'cin': '122', 'month': '04', 'second': '26', 'in': '293', 'date': '29', 'minute': '27', 'out': '171'}
{'hour': '13', 'app': '0.08', 'cin': '128', 'month': '04', 'second': '30', 'in': '299', 'date': '29', 'minute': '27', 'out': '171'}
{'hour': '13', 'app': '0.07', 'cin': '134', 'month': '04', 'second': '33', 'in': '305', 'date': '29', 'minute': '27', 'out': '171'}
{'hour': '13', 'app': '0.07', 'cin': '136', 'month': '04', 'second': '35', 'in': '307', 'date': '29', 'minute': '27', 'out': '171'}
{'hour': '13', 'app': '0.07', 'cin': '140', 'month': '04', 'second': '37', 'in': '311', 'date': '29', 'minute': '27', 'out': '171'}
{'hour': '14', 'app': '0.07', 'cin': '143', 'month': '04', 'second': '15', 'in': '325', 'date': '29', 'minute': '02', 'out': '182'}
{'hour': '14', 'app': '0.07', 'cin': '147', 'month': '04', 'second': '48', 'in': '329', 'date': '29', 'minute': '02', 'out': '182'}
{'hour': '14', 'app': '0.06', 'cin': '155', 'month': '04', 'second': '55', 'in': '337', 'date': '29', 'minute': '02', 'out': '182'}
{'hour': '14', 'app': '0.06', 'cin': '157', 'month': '04', 'second': '42', 'in': '339', 'date': '29', 'minute': '05', 'out': '182'}
{'hour': '14', 'app': '0.06', 'cin': '163', 'month': '04', 'second': '48', 'in': '345', 'date': '29', 'minute': '05', 'out': '182'}
{'hour': '14', 'app': '0.06', 'cin': '165', 'month': '04', 'second': '10', 'in': '347', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.06', 'cin': '165', 'month': '04', 'second': '10', 'in': '347', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.06', 'cin': '174', 'month': '04', 'second': '27', 'in': '356', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.06', 'cin': '177', 'month': '04', 'second': '29', 'in': '359', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.06', 'cin': '181', 'month': '04', 'second': '32', 'in': '363', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.05', 'cin': '184', 'month': '04', 'second': '34', 'in': '366', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.05', 'cin': '187', 'month': '04', 'second': '36', 'in': '369', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.05', 'cin': '189', 'month': '04', 'second': '38', 'in': '371', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '304', 'month': '04', 'second': '03', 'in': '486', 'date': '29', 'minute': '07', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '308', 'month': '04', 'second': '46', 'in': '490', 'date': '29', 'minute': '07', 'out': '182'}
{'hour': '14', 'app': '0.06', 'cin': '174', 'month': '04', 'second': '27', 'in': '356', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.06', 'cin': '177', 'month': '04', 'second': '29', 'in': '359', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.06', 'cin': '181', 'month': '04', 'second': '32', 'in': '363', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.05', 'cin': '184', 'month': '04', 'second': '34', 'in': '366', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.05', 'cin': '187', 'month': '04', 'second': '36', 'in': '369', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.05', 'cin': '189', 'month': '04', 'second': '38', 'in': '371', 'date': '29', 'minute': '06', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '304', 'month': '04', 'second': '03', 'in': '486', 'date': '29', 'minute': '07', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '308', 'month': '04', 'second': '46', 'in': '490', 'date': '29', 'minute': '07', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '316', 'month': '04', 'second': '03', 'in': '498', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '341', 'month': '04', 'second': '11', 'in': '523', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '341', 'month': '04', 'second': '11', 'in': '523', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '342', 'month': '04', 'second': '31', 'in': '524', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '343', 'month': '04', 'second': '33', 'in': '525', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '344', 'month': '04', 'second': '36', 'in': '526', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '345', 'month': '04', 'second': '38', 'in': '527', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '346', 'month': '04', 'second': '39', 'in': '528', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '352', 'month': '04', 'second': '42', 'in': '534', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '354', 'month': '04', 'second': '44', 'in': '536', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '342', 'month': '04', 'second': '31', 'in': '524', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '343', 'month': '04', 'second': '33', 'in': '525', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '344', 'month': '04', 'second': '36', 'in': '526', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '345', 'month': '04', 'second': '38', 'in': '527', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '346', 'month': '04', 'second': '39', 'in': '528', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '352', 'month': '04', 'second': '42', 'in': '534', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '354', 'month': '04', 'second': '44', 'in': '536', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '366', 'month': '04', 'second': '58', 'in': '548', 'date': '29', 'minute': '16', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '386', 'month': '04', 'second': '09', 'in': '568', 'date': '29', 'minute': '17', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '366', 'month': '04', 'second': '58', 'in': '548', 'date': '29', 'minute': '16', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '386', 'month': '04', 'second': '09', 'in': '568', 'date': '29', 'minute': '17', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '394', 'month': '04', 'second': '34', 'in': '576', 'date': '29', 'minute': '31', 'out': '182'}
{'hour': '14', 'app': '0.03', 'cin': '397', 'month': '04', 'second': '24', 'in': '579', 'date': '29', 'minute': '32', 'out': '182'}
{'hour': '14', 'app': '0.02', 'cin': '403', 'month': '04', 'second': '29', 'in': '585', 'date': '29', 'minute': '32', 'out': '182'}
{'hour': '15', 'app': '0.02', 'cin': '407', 'month': '04', 'second': '38', 'in': '589', 'date': '29', 'minute': '09', 'out': '182'}
{'hour': '15', 'app': '0.02', 'cin': '414', 'month': '04', 'second': '00', 'in': '596', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '15', 'app': '0.02', 'cin': '484', 'month': '04', 'second': '27', 'in': '666', 'date': '29', 'minute': '10', 'out': '182'}
{'hour': '15', 'app': '0.02', 'cin': '504', 'month': '04', 'second': '45', 'in': '686', 'date': '29', 'minute': '22', 'out': '182'}
{'hour': '15', 'app': '0.02', 'cin': '510', 'month': '04', 'second': '10', 'in': '692', 'date': '29', 'minute': '26', 'out': '182'}
{'hour': '15', 'app': '0.02', 'cin': '515', 'month': '04', 'second': '12', 'in': '697', 'date': '29', 'minute': '26', 'out': '182'}
{'hour': '15', 'app': '0.02', 'cin': '527', 'month': '04', 'second': '20', 'in': '709', 'date': '29', 'minute': '26', 'out': '182'}
{'hour': '15', 'app': '0.02', 'cin': '531', 'month': '04', 'second': '24', 'in': '713', 'date': '29', 'minute': '26', 'out': '182'}
{'hour': '16', 'app': '0.02', 'cin': '554', 'month': '04', 'second': '37', 'in': '747', 'date': '29', 'minute': '39', 'out': '193'}
{'hour': '16', 'app': '0.02', 'cin': '560', 'month': '04', 'second': '11', 'in': '753', 'date': '29', 'minute': '41', 'out': '193'}
{'hour': '16', 'app': '0.02', 'cin': '561', 'month': '04', 'second': '19', 'in': '757', 'date': '29', 'minute': '41', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '562', 'month': '04', 'second': '21', 'in': '758', 'date': '29', 'minute': '41', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '579', 'month': '04', 'second': '30', 'in': '775', 'date': '29', 'minute': '41', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '587', 'month': '04', 'second': '38', 'in': '783', 'date': '29', 'minute': '41', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '593', 'month': '04', 'second': '40', 'in': '789', 'date': '29', 'minute': '41', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '598', 'month': '04', 'second': '46', 'in': '794', 'date': '29', 'minute': '41', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '630', 'month': '04', 'second': '52', 'in': '826', 'date': '29', 'minute': '41', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '631', 'month': '04', 'second': '34', 'in': '827', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '632', 'month': '04', 'second': '36', 'in': '828', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '633', 'month': '04', 'second': '38', 'in': '829', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '634', 'month': '04', 'second': '41', 'in': '830', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '635', 'month': '04', 'second': '44', 'in': '831', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '636', 'month': '04', 'second': '46', 'in': '832', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '637', 'month': '04', 'second': '47', 'in': '833', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '638', 'month': '04', 'second': '49', 'in': '834', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '639', 'month': '04', 'second': '51', 'in': '835', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '640', 'month': '04', 'second': '53', 'in': '836', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '641', 'month': '04', 'second': '55', 'in': '837', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '642', 'month': '04', 'second': '56', 'in': '838', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '643', 'month': '04', 'second': '58', 'in': '839', 'date': '29', 'minute': '42', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '644', 'month': '04', 'second': '01', 'in': '840', 'date': '29', 'minute': '43', 'out': '196'}
{'hour': '16', 'app': '0.02', 'cin': '645', 'month': '04', 'second': '03', 'in': '841', 'date': '29', 'minute': '43', 'out': '196'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '06', 'in': '956', 'date': '29', 'minute': '25', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '27', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '31', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '33', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '33', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '34', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '34', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '34', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '45', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '55', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '57', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '57', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '57', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '57', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '57', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '58', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.03', 'cin': '388', 'month': '04', 'second': '58', 'in': '956', 'date': '29', 'minute': '30', 'out': '568'}
{'hour': '17', 'app': '0.02', 'cin': '419', 'month': '04', 'second': '56', 'in': '987', 'date': '29', 'minute': '31', 'out': '568'}
{'hour': '22', 'app': '0.16', 'cin': '63', 'month': '04', 'second': '00', 'in': '1027', 'date': '29', 'minute': '56', 'out': '964'}
{'hour': '19', 'app': '0.03', 'cin': '300', 'month': '04', 'second': '29', 'in': '1278', 'date': '30', 'minute': '22', 'out': '978'}
{'hour': '19', 'app': '1.43', 'cin': '7', 'month': '04', 'second': '41', 'in': '985', 'date': '30', 'minute': '28', 'out': '978'}
{'hour': '19', 'app': '-0.01', 'cin': '-883', 'month': '04', 'second': '31', 'in': '95', 'date': '30', 'minute': '33', 'out': '978'}
{'hour': '19', 'app': '-0.43', 'cin': '-23', 'month': '04', 'second': '41', 'in': '955', 'date': '30', 'minute': '33', 'out': '978'}
{'hour': '19', 'app': '0.02', 'cin': '547', 'month': '04', 'second': '40', 'in': '1575', 'date': '30', 'minute': '43', 'out': '1028'}
{'hour': '20', 'app': '-0.52', 'cin': '44', 'month': '04', 'second': '07', 'in': '55', 'date': '30', 'minute': '06', 'out': '11'}
{'hour': '20', 'app': '-1.88', 'cin': '73', 'month': '04', 'second': '35', 'in': '84', 'date': '30', 'minute': '08', 'out': '11'}
{'hour': '20', 'app': '-30.86', 'cin': '18', 'month': '04', 'second': '22', 'in': '84', 'date': '30', 'minute': '09', 'out': '66'}
{'hour': '20', 'app': '-30.86', 'cin': '18', 'month': '04', 'second': '28', 'in': '84', 'date': '30', 'minute': '10', 'out': '66'}
{'hour': '20', 'app': '0.03', 'cin': '380', 'month': '04', 'second': '23', 'in': '1769', 'date': '30', 'minute': '13', 'out': '1389'}
{'hour': '20', 'app': '-0.01', 'cin': '-1220', 'month': '04', 'second': '55', 'in': '169', 'date': '30', 'minute': '13', 'out': '1389'}
{'hour': '20', 'app': '0.02', 'cin': '480', 'month': '04', 'second': '15', 'in': '1869', 'date': '30', 'minute': '14', 'out': '1389'}
{'hour': '20', 'app': '-1111.11', 'cin': '3', 'month': '04', 'second': '18', 'in': '84', 'date': '30', 'minute': '24', 'out': '81'}
{'hour': '21', 'app': '0.01', 'cin': '799', 'month': '04', 'second': '37', 'in': '2583', 'date': '30', 'minute': '07', 'out': '1784'}
{'hour': '22', 'app': '0.01', 'cin': '1331', 'month': '04', 'second': '13', 'in': '2799', 'date': '30', 'minute': '52', 'out': '1468'}
{'hour': '22', 'app': '0.01', 'cin': '1331', 'month': '04', 'second': '48', 'in': '2799', 'date': '30', 'minute': '55', 'out': '1468'}
{'hour': '22', 'app': '0.01', 'cin': '1531', 'month': '04', 'second': '53', 'in': '2999', 'date': '30', 'minute': '55', 'out': '1468'}
{'hour': '23', 'app': '0.03', 'cin': '361', 'month': '04', 'second': '39', 'in': '3089', 'date': '30', 'minute': '07', 'out': '2728'}
{'hour': '23', 'app': '0.06', 'cin': '169', 'month': '04', 'second': '43', 'in': '268', 'date': '30', 'minute': '23', 'out': '99'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '34', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '34', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '35', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '35', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '35', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '35', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '35', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '36', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '36', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '36', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '37', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '37', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '37', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '37', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '37', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '37', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '37', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '37', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '37', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '37', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.10', 'cin': '100', 'month': '04', 'second': '37', 'in': '200', 'date': '30', 'minute': '29', 'out': '100'}
{'hour': '23', 'app': '0.05', 'cin': '200', 'month': '04', 'second': '14', 'in': '300', 'date': '30', 'minute': '34', 'out': '100'}
{'hour': '23', 'app': '0.04', 'cin': '270', 'month': '04', 'second': '39', 'in': '370', 'date': '30', 'minute': '37', 'out': '100'}
{'hour': '23', 'app': '0.04', 'cin': '279', 'month': '04', 'second': '34', 'in': '379', 'date': '30', 'minute': '42', 'out': '100'}
{'hour': '23', 'app': '0.04', 'cin': '279', 'month': '04', 'second': '54', 'in': '379', 'date': '30', 'minute': '43', 'out': '100'}
{'hour': '23', 'app': '0.02', 'cin': '480', 'month': '04', 'second': '55', 'in': '580', 'date': '30', 'minute': '44', 'out': '100'}
{'hour': '00', 'app': '0.02', 'cin': '485', 'month': '05', 'second': '38', 'in': '585', 'date': '01', 'minute': '10', 'out': '100'}
{'hour': '00', 'app': '0.02', 'cin': '485', 'month': '05', 'second': '26', 'in': '585', 'date': '01', 'minute': '14', 'out': '100'}
{'hour': '00', 'app': '0.02', 'cin': '489', 'month': '05', 'second': '58', 'in': '589', 'date': '01', 'minute': '14', 'out': '100'}
{'hour': '00', 'app': '0.02', 'cin': '499', 'month': '05', 'second': '02', 'in': '599', 'date': '01', 'minute': '15', 'out': '100'}
{'hour': '00', 'app': '0.01', 'cin': '795', 'month': '05', 'second': '14', 'in': '895', 'date': '01', 'minute': '15', 'out': '100'}
{'hour': '00', 'app': '0.01', 'cin': '795', 'month': '05', 'second': '34', 'in': '895', 'date': '01', 'minute': '15', 'out': '100'}
{'hour': '00', 'app': '0.10', 'cin': '100', 'month': '05', 'second': '30', 'in': '200', 'date': '01', 'minute': '16', 'out': '100'}
{'hour': '00', 'app': '0.09', 'cin': '107', 'month': '05', 'second': '59', 'in': '207', 'date': '01', 'minute': '16', 'out': '100'}
{'hour': '00', 'app': '0.09', 'cin': '109', 'month': '05', 'second': '23', 'in': '209', 'date': '01', 'minute': '17', 'out': '100'}
{'hour': '02', 'app': '0.02', 'cin': '590', 'month': '05', 'second': '27', 'in': '690', 'date': '01', 'minute': '03', 'out': '100'}
{'hour': '02', 'app': '0.02', 'cin': '590', 'month': '05', 'second': '28', 'in': '690', 'date': '01', 'minute': '03', 'out': '100'}
{'hour': '02', 'app': '0.02', 'cin': '590', 'month': '05', 'second': '29', 'in': '690', 'date': '01', 'minute': '03', 'out': '100'}
{'hour': '02', 'app': '0.02', 'cin': '590', 'month': '05', 'second': '29', 'in': '690', 'date': '01', 'minute': '03', 'out': '100'}
{'hour': '02', 'app': '0.02', 'cin': '590', 'month': '05', 'second': '29', 'in': '690', 'date': '01', 'minute': '03', 'out': '100'}
{'hour': '02', 'app': '0.02', 'cin': '550', 'month': '05', 'second': '02', 'in': '650', 'date': '01', 'minute': '52', 'out': '100'}
{'hour': '02', 'app': '0.01', 'cin': '790', 'month': '05', 'second': '29', 'in': '890', 'date': '01', 'minute': '52', 'out': '100'}
